Technology,Country,InvCost_kEUR_MW_year,VarCost_kEUR_per_MWh,UnitCap_MW
Coal,BLK,22,3e-04,480
Coal,CZE,24,5e-04,460
Coal,GER,33.75,0.15,400
Coal,IRE,33.75,0.15,400
Coal,POL,33.75,0.15,400
Coal,SKO,33.75,0.15,400
Gas,AUS,20,1e-04,500
Gas,BEL,21,2e-04,490
Gas,BLK,22,3e-04,480
Gas,BLT,23,4e-04,470
Gas,CZE,24,5e-04,460
Gas,DEN,23.3333333333333,0.05,250
Gas,FIN,23.3333333333333,0.05,250
Gas,FRA,23.3333333333333,0.05,250
Gas,GER,23.3333333333333,0.05,250
Gas,IRE,23.3333333333333,0.05,250
Gas,ITA,23.3333333333333,0.05,250
Gas,POL,23.3333333333333,0.05,250
Gas,POR,23.3333333333333,0.05,250
Gas,SKO,23.3333333333333,0.05,250
Gas,SPA,23.3333333333333,0.05,250
Gas,SWE,23.3333333333333,0.05,250
Gas,UKI,23.3333333333333,0.05,250
Lignite,BLK,22,3e-04,480
Lignite,CZE,24,5e-04,460
Lignite,GER,38.75,0.1,400
Lignite,POL,38.75,0.1,400
Lignite,SKO,38.75,0.1,400
Nuclear,BLK,22,3e-04,480
Nuclear,CZE,24,5e-04,460
Nuclear,FIN,68.6666666666667,0.01,1000
Nuclear,FRA,68.6666666666667,0.01,1000
Nuclear,SKO,68.6666666666667,0.01,1000
Nuclear,SPA,68.6666666666667,0.01,1000
Nuclear,SWE,68.6666666666667,0.01,1000
Nuclear,SWI,68.6666666666667,0.01,1000
Nuclear,UKI,68.6666666666667,0.01,1000
Oil,AUS,20,1e-04,500
Oil,BEL,21,2e-04,490
Oil,BLK,22,3e-04,480
Oil,BLT,23,4e-04,470
Oil,DEN,24.1666666666667,0.2,100
Oil,FRA,24.1666666666667,0.2,100
Oil,GER,24.1666666666667,0.2,100
Oil,IRE,24.1666666666667,0.2,100
Oil,SKO,24.1666666666667,0.2,100
Oil,UKI,24.1666666666667,0.2,100
SunPV,AUS,20,1e-04,500
SunPV,BEL,21,2e-04,490
SunPV,BLK,22,3e-04,480
SunPV,BLT,23,4e-04,470
SunPV,CZE,24,5e-04,460
SunPV,DEN,24,1e-04,50
SunPV,FIN,24,1e-04,50
SunPV,FRA,24,1e-04,50
SunPV,GER,24,1e-04,50
SunPV,IRE,24,1e-04,50
SunPV,ITA,24,1e-04,50
SunPV,NED,24,1e-04,50
SunPV,NOR,24,1e-04,50
SunPV,POL,24,1e-04,50
SunPV,POR,24,1e-04,50
SunPV,SKO,24,1e-04,50
SunPV,SPA,24,1e-04,50
SunPV,SWE,24,1e-04,50
SunPV,SWI,24,1e-04,50
SunPV,UKI,24,1e-04,50
WindOff,AUS,20,1e-04,500
WindOff,BEL,21,2e-04,490
WindOff,BLK,22,3e-04,480
WindOff,BLT,23,4e-04,470
WindOff,CZE,24,5e-04,460
WindOff,DEN,88.3333333333333,0.005,100
WindOff,FIN,88.3333333333333,0.005,100
WindOff,FRA,88.3333333333333,0.005,100
WindOff,GER,88.3333333333333,0.005,100
WindOff,IRE,88.3333333333333,0.005,100
WindOff,ITA,88.3333333333333,0.005,100
WindOff,NED,88.3333333333333,0.005,100
WindOff,NOR,88.3333333333333,0.005,100
WindOff,POL,88.3333333333333,0.005,100
WindOff,POR,88.3333333333333,0.005,100
WindOff,SKO,88.3333333333333,0.005,100
WindOff,SPA,88.3333333333333,0.005,100
WindOff,SWE,88.3333333333333,0.005,100
WindOff,SWI,88.3333333333333,0.005,100
WindOff,UKI,88.3333333333333,0.005,100
WindOn,AUS,20,1e-04,500
WindOn,BEL,21,2e-04,490
WindOn,BLK,22,3e-04,480
WindOn,BLT,23,4e-04,470
WindOn,CZE,24,5e-04,460
WindOn,DEN,48.4,0.0025,100
WindOn,FIN,48.4,0.0025,100
WindOn,FRA,48.4,0.0025,100
WindOn,GER,48.4,0.0025,100
WindOn,IRE,48.4,0.0025,100
WindOn,ITA,48.4,0.0025,100
WindOn,NED,48.4,0.0025,100
WindOn,NOR,48.4,0.0025,100
WindOn,POL,48.4,0.0025,100
WindOn,POR,48.4,0.0025,100
WindOn,SKO,48.4,0.0025,100
WindOn,SPA,48.4,0.0025,100
WindOn,SWE,48.4,0.0025,100
WindOn,SWI,48.4,0.0025,100
WindOn,UKI,48.4,0.0025,100
